TEST_NR;NAME_LANG;NAME_BEFUND_LANG;GESCHLECHT;BIS_ALTER_TAGE;BIS_ALTER_MONATE;BIS_ALTER_JAHRE;BIS_ALTER;NORMALWERT_VON;NORMALWERT_BIS;BEURTEILUNG;QUELLE
1,0;"Troponin I";"Troponin I";"u";;;999,0;999,0;0,0;0,1;"";
3,0;"Digoxin";"Digoxin";"u";;;18,0;18,0;1,0;2,5;"";
3,0;"Digoxin";"Digoxin";"u";;;999,0;999,0;0,8;2,0;;
4,0;"PSA";"PSA alt";"u";;;49,0;49,0;;2,0;;
4,0;"PSA";"PSA alt";"u";;;59,0;59,0;;3,3;;
4,0;"PSA";"PSA alt";"u";;;999,0;999,0;;4,0;;
8,0;"Glucose im Urin";"Glucose im Urin";"u";;;999,0;999,0;;30,0;"";
9,0;"IgG";"IgG";"u";;;999,0;999,0;700,0;1600,0;"";
9,0;"IgG";"IgG";"u";14,0;;;0,1;600,0;1500,0;"";
9,0;"IgG";"IgG";"u";;3,0;;0,6;170,0;600,0;"";
9,0;"IgG";"IgG";"u";;;1,0;1,0;170,0;1100,0;"";
9,0;"IgG";"IgG";"u";;;6,0;6,0;500,0;1600,0;"";
10,0;"IgM";"IgM";"u";;;999,0;999,0;40,0;230,0;"";
10,0;"IgM";"IgM";"u";14,0;;;0,2;10,0;40,0;"";
10,0;"IgM";"IgM";"u";;3,0;;0,6;30,0;90,0;"";
10,0;"IgM";"IgM";"u";;;1,0;1,0;40,0;160,0;"";
11,0;"Ak g. extrahierb. nu";"Ak g. extrahierb. nukl. Ag (ENA)";"u";;;999,0;999,0;;;;
12,0;"U1-nRNP/Sm";"U1-nRNP/Sm";"u";;;999,0;999,0;;;"< 1: 50";
13,0;"Sm";"Sm";"u";;;999,0;999,0;;;"< 1: 50";
14,0;"SS-A/Ro";"SS-A/Ro";"u";;;999,0;999,0;;;"< 1: 50";
15,0;"SS-B/La";"SS-B/La";"u";;;999,0;999,0;;;"< 1: 50";
16,0;"Scl-70";"Scl-70";"u";;;999,0;999,0;;;"< 1: 50";
17,0;"Jo-1";"Jo-1";"u";;;999,0;999,0;;;"< 1: 50";
18,0;"Myoglobin";"Myoglobin";"u";;;999,0;999,0;19,0;92,0;;
19,0;"CKMB";"CKMB";"u";;;999,0;999,0;;24,0;;
30,0;"Digitoxin";"Digitoxin";"u";;;999,0;999,0;10,0;30,0;;
31,0;"Glucose i.L.";"Glucose im Liquor";"u";;;999,0;999,0;40,0;70,0;;
32,0;"Laktat i. Liquor";"Laktat im Liquor";"u";;;999,0;999,0;1,2;2,1;"";
32,0;"Laktat i. Liquor";"Laktat im Liquor";"u";;;18,0;18,0;1,1;1,8;"";
33,0;"Serumarchiv-Probe";"Serumarchiv-Probe";"u";;;999,0;999,0;;;;
34,0;"Chylomikronen";"Chylomikronen";"u";;;999,0;999,0;;;"negativ";
35,0;"Cholesterin";"Cholesterin";"u";30,0;;;0,3;54,0;174,0;;
35,0;"Cholesterin";"Cholesterin";"u";;12,0;;0,9;58,0;193,0;;
35,0;"Cholesterin";"Cholesterin";"u";;;18,0;18,0;;224,0;;
35,0;"Cholesterin";"Cholesterin";"u";;;999,0;999,0;;200,0;;
37,0;"Lp (a)";"Lp (a)";"u";;;999,0;999,0;;30,0;;
39,0;"PTH (Parathormon int";"PTH (Parathormon intakt)";"u";;;16,0;16,0;;;;
39,0;"PTH (Parathormon int";"PTH (Parathormon intakt)";"u";;;999,0;999,0;1,2;8,8;;
40,0;"Phosphat";"Phosphat";"u";30,0;;;0,3;5,0;9,6;;
40,0;"Phosphat";"Phosphat";"u";;12,0;;0,9;5,0;7,7;;
40,0;"Phosphat";"Phosphat";"u";;;18,0;18,0;3,4;6,2;;
40,0;"Phosphat";"Phosphat";"u";;;999,0;999,0;2,5;4,5;;
41,0;"Glucose";"Glucose";"u";1,0;;;0,0;21,0;85,0;;
41,0;"Glucose";"Glucose";"u";2,0;;;0,0;46,0;77,0;;
41,0;"Glucose";"Glucose";"u";3,0;;;0,0;49,0;88,0;;
41,0;"Glucose";"Glucose";"u";4,0;;;0,1;48,0;91,0;;
41,0;"Glucose";"Glucose";"u";;;1,0;1,0;62,0;104,0;;
41,0;"Glucose";"Glucose";"u";;;6,0;6,0;60,0;100,0;;
41,0;"Glucose";"Glucose";"u";6,0;;;0,1;60,0;100,0;;
41,0;"Glucose";"Glucose";"u";;;999,0;999,0;74,0;106,0;;
42,0;"Harnstoff-N";"Harnstoff-N";"u";31,0;;;0,3;3,0;18,9;;
42,0;"Harnstoff-N";"Harnstoff-N";"u";;;18,0;18,0;5,5;22,1;;
42,0;"Harnstoff-N";"Harnstoff-N";"u";;;999,0;999,0;7,8;19,8;;
43,0;"Ferritin";"Ferritin";"u";5,0;;;0,1;110,0;500,0;"";
43,0;"Ferritin";"Ferritin";"u";;12,0;;0,9;4,0;400,0;"";
43,0;"Ferritin";"Ferritin";"u";;;13,0;13,0;2,0;65,0;"";
43,0;"Ferritin";"Ferritin";"u";;;18,0;18,0;9,0;80,0;"";
43,0;"Ferritin";"Ferritin";"u";;;999,0;999,0;34,0;336,0;;
44,0;"Creatinin";"Creatinin";"u";1,0;;;0,0;0,4;1,3;;
44,0;"Creatinin";"Creatinin";"u";7,0;;;0,1;0,3;1,2;;
44,0;"Creatinin";"Creatinin";"u";30,0;;;0,3;0,3;0,6;;
44,0;"Creatinin";"Creatinin";"u";;;6,0;6,0;0,3;0,7;;
44,0;"Creatinin";"Creatinin";"u";;;18,0;18,0;0,3;1,0;;
44,0;"Creatinin";"Creatinin";"u";;;999,0;999,0;0,8;1,3;;
45,0;"Kalium";"Kalium";"u";30,0;;;0,3;3,5;6,1;;
45,0;"Kalium";"Kalium";"u";;;1,0;1,0;3,7;5,8;;
45,0;"Kalium";"Kalium";"u";;;14,0;14,0;3,2;5,4;;
45,0;"Kalium";"Kalium";"u";;;2,0;2,0;3,1;5,2;;
45,0;"Kalium";"Kalium";"u";;;999,0;999,0;3,5;5,1;;
46,0;"Calcium";"Calcium";"u";;;999,0;999,0;8,5;10,6;;
47,0;"Transferrin";"Transferrin";"u";28,0;;;0,3;151,0;353,0;"";
47,0;"Transferrin";"Transferrin";"u";;;999,0;999,0;200,0;300,0;;
48,0;"Antinukleäre Antikör";"Zellkerne (ANA)";"u";;;999,0;999,0;;;"< 1: 80";
49,0;"Ak g. Doppelstrang-D";"Doppelstrang-DNA (IFT)";"u";;;999,0;999,0;;;"< 1: 20";
50,0;"Anti-HBc";"Anti-HBc";"u";;;999,0;999,0;;;"negativ";
52,0;"HBs Antigen";"HBs-Antigen";"u";;;999,0;999,0;;;"negativ";
54,0;"Anti-HCV (CLIA)";"Anti-HCV (CLIA)";"u";;;999,0;999,0;;;"negativ";
56,0;"Ak g. glomerul. Basa";"GBM (IFT)";"u";;;999,0;999,0;;;"< 1: 10";
57,0;"Ak g. glomerul. Basa";"GBM (EIA) alt";"u";;;999,0;999,0;;21,0;;
58,0;"anti-Proteinase 3";"Proteinase 3 (EIA) alt";"u";;;999,0;999,0;;21,0;;
59,0;"anti-Myeloperoxidase";"Myeloperoxidase (EIA) alt";"u";;;999,0;999,0;;21,0;;
60,0;"c-ANCA";"c-ANCA (IFT)";"u";;;999,0;999,0;;;"negativ";
61,0;"p-ANCA";"p-ANCA (IFT)";"u";;;999,0;999,0;;;"negativ";
62,0;"CRP";"CRP";"u";;;999,0;999,0;;0,5;;
63,0;"HIV-1/2 (CLIA)";"HIV-1/2 (CLIA)";"u";;;999,0;999,0;;;"negativ";
66,0;"CMV IgG (CLIA)";"CMV IgG (CLIA)";"u";;;999,0;999,0;;15,0;;
67,0;"CMV IgM (CLIA)";"CMV IgM (CLIA)";"u";;;999,0;999,0;;;"negativ";
69,0;"Leukozyten";"Leukozyten";"u";;;999,0;999,0;4,0;10,0;;
69,0;"Leukozyten";"Leukozyten";"u";1,0;;;0,0;9,4;34,0;;
69,0;"Leukozyten";"Leukozyten";"u";7,0;;;0,1;5,0;21,0;;
69,0;"Leukozyten";"Leukozyten";"u";;;2,0;2,0;6,0;17,0;;
69,0;"Leukozyten";"Leukozyten";"u";14,0;;;0,1;5,0;20,0;;
69,0;"Leukozyten";"Leukozyten";"u";;1,0;;0,4;5,0;19,5;;
69,0;"Leukozyten";"Leukozyten";"u";;;1,0;1,0;6,0;17,5;;
69,0;"Leukozyten";"Leukozyten";"u";;;4,0;4,0;5,5;15,5;;
69,0;"Leukozyten";"Leukozyten";"u";;;6,0;6,0;5,0;14,5;;
69,0;"Leukozyten";"Leukozyten";"u";;;10,0;10,0;4,5;13,5;;
69,0;"Leukozyten";"Leukozyten";"u";;;16,0;16,0;4,5;13,0;;
69,0;"Leukozyten";"Leukozyten";"u";;;18,0;18,0;4,5;11,0;;
70,0;"Erythrozyten";"Erythrozyten";"w";;;999,0;999,0;4,2;6,0;;
70,0;"Erythrozyten";"Erythrozyten";"m";;;999,0;999,0;4,2;6,0;;
70,0;"Erythrozyten";"Erythrozyten";"m";3,0;;;0,0;4,0;6,6;;
70,0;"Erythrozyten";"Erythrozyten";"m";7,0;;;0,1;3,9;6,3;;
70,0;"Erythrozyten";"Erythrozyten";"m";14,0;;;0,1;3,6;6,2;;
70,0;"Erythrozyten";"Erythrozyten";"m";;1,0;;0,4;3,0;5,5;;
70,0;"Erythrozyten";"Erythrozyten";"m";;2,0;;0,5;2,7;4,9;;
70,0;"Erythrozyten";"Erythrozyten";"m";;6,0;;0,9;3,1;4,5;;
