TEST_NR;NAME_KURZ_10;NAME_LANG;NAME_BEFUND_LANG;GUELTIG_AB;EINHEIT_NAME;NORMALWERT_VON;NORMALWERT_BIS;BEURTEILUNG;ARBEITSPLATZ_BEZ
1;TNI;Troponin I;Troponin I;31.12.2003;ng/ml;0;0,06;;Chemie
3;DIGOXIN;Digoxin;Digoxin;07.02.2003;ng/ml;1;2,5;;Chemie
3;DIGOXIN;Digoxin;Digoxin;07.02.2003;ng/ml;0,8;2;;Chemie
4;PSA_G_A;PSA;PSA alt;07.02.2003;ng/ml;;2;;Tumormarker
4;PSA_G_A;PSA;PSA alt;07.02.2003;ng/ml;;3,3;;Tumormarker
4;PSA_G_A;PSA;PSA alt;07.02.2003;ng/ml;;4;;Tumormarker
8;GLUC-U;Glucose im Urin;Glucose im Urin;07.02.2003;mg/dl;;30;;Urinstatus
9;IGG;IgG;IgG;07.02.2003;mg/dl;500;1600;;Chemie
9;IGG;IgG;IgG;07.02.2003;mg/dl;700;1600;;Chemie
9;IGG;IgG;IgG;07.02.2003;mg/dl;600;1500;;Chemie
9;IGG;IgG;IgG;07.02.2003;mg/dl;170;600;;Chemie
9;IGG;IgG;IgG;07.02.2003;mg/dl;170;1100;;Chemie
10;IGM;IgM;IgM;07.02.2003;mg/dl;40;230;;Chemie
10;IGM;IgM;IgM;07.02.2003;mg/dl;30;90;;Chemie
10;IGM;IgM;IgM;07.02.2003;mg/dl;40;160;;Chemie
10;IGM;IgM;IgM;07.02.2003;mg/dl;10;40;;Chemie
11;ENA;Ak g. extrahierb. nu;Ak g. extrahierb. nukl. Ag (ENA);07.02.2003;;;;;Autoantikörper
12;U1_NRNP;U1-nRNP/Sm;U1-nRNP/Sm;07.02.2003;Titer;;;< 1: 50;Autoantikörper
13;SM;Sm;Sm;07.02.2003;Titer;;;< 1: 50;Autoantikörper
14;SS-A/RO;SS-A/Ro;SS-A/Ro;07.02.2003;Titer;;;< 1: 50;Autoantikörper
15;SS-B/LA;SS-B/La;SS-B/La;07.02.2003;Titer;;;< 1: 50;Autoantikörper
16;SCL-70;Scl-70;Scl-70;07.02.2003;Titer;;;< 1: 50;Autoantikörper
17;JO-1;Jo-1;Jo-1;07.02.2003;Titer;;;< 1: 50;Autoantikörper
18;MYOGL;Myoglobin;Myoglobin;07.02.2003;µg/l;19;92;;Chemie
19;CKMB;CKMB;CKMB;07.02.2003;U/l;;24;;Chemie
