EINHEIT_ID;INSERT_AM;INSERT_VON;UPDATE_AM;UPDATE_VON;EINHEIT_NAME;EINHEIT_ANZ;INSERT_VON_HAUS
1;30.04.2002 14:53;;23.03.2004 11:51;;1398;1398;1
2;30.04.2002 14:53;;;;mg/l;mg/l;
3;30.04.2002 14:53;;;;mg/dl;mg/dl;
4;30.04.2002 14:53;;;;g/l;g/l;
5;30.04.2002 14:53;;;;µg/ml;µg/ml;
6;30.04.2002 14:53;;;;U/ml;U/ml;
7;30.04.2002 14:53;;;;U/l;U/l;
8;30.04.2002 14:53;;;;nmol/l;nmol/l;
10;30.04.2002 14:53;;;;IE;IE;
11;30.04.2002 14:53;;;;mg%;mg%;
12;30.04.2002 14:53;;;;Klasse;Klasse;
14;30.04.2002 14:53;;10.05.2004 13:33;;µl;µl;14
15;30.04.2002 14:53;;;;%;%;
16;30.04.2002 14:53;;;;sec;sec;
17;30.04.2002 14:53;;;;µg/l;µg/l;
18;30.04.2002 14:53;;;;µ/l;µ/l;
19;30.04.2002 14:53;;;;BE;BE;
20;30.04.2002 14:53;;;;T/µl;T/µl;
21;30.04.2002 14:53;;;;M/µl;M/µl;
22;30.04.2002 14:53;;;;g/dl;g/dl;
23;30.04.2002 14:53;;;;fl;fl;
24;30.04.2002 14:53;;03.12.2009 13:09;;‰;‰;24
25;30.04.2002 14:53;;;;pg;pg;
26;30.04.2002 14:53;;;;min;min;
27;30.04.2002 14:53;;;;mVal/l;mVal/l;
28;30.04.2002 14:53;;;;ml/min;ml/min;
29;30.04.2002 14:53;;;;mm/Hg;mm/Hg;
30;30.04.2002 14:53;;;;g/dl;g/dl;
31;30.04.2002 14:53;;;;mg/24h;mg/24h;
32;30.04.2002 14:53;;;;%NaCl;%NaCl;
33;30.04.2002 14:53;;;;mmol/l;mmol/l;
34;30.04.2002 14:53;;;;kg;kg;
35;30.04.2002 14:53;;;;cm;cm;
36;30.04.2002 14:53;;;;ng/ml;ng/ml;
37;30.04.2002 14:53;;;;µg/dl;µg/dl;
38;30.04.2002 14:53;;;;/µl;/µl;
39;30.04.2002 14:53;;;;mmHg;mmHg;
40;30.04.2002 14:53;;;;mval/24h;mval/24h;
41;30.04.2002 14:53;;;;KU/l;KU/l;
42;30.04.2002 14:53;;;;°C;°C;
43;30.04.2002 14:53;;;;mý;mý;
44;30.04.2002 14:53;;;;mm3;mm3;
45;30.04.2002 14:53;;;;ml/24h;ml/24h;
46;30.04.2002 14:53;;;;µU/ml;µU/ml;
47;30.04.2002 14:53;;;;EH/dl;EH/dl;
4713;17.09.2004 14:15;;;;mU/10E9 Ery;mU/10E9 Ery;4713
49;30.04.2002 14:53;;;;/nl;/nl;
50;30.04.2002 14:53;;;;/pl;/pl;
51;30.04.2002 14:53;;;;vol%;vol%;
52;30.04.2002 14:53;;;;Proz;Proz;
53;30.04.2002 14:53;;;;10-ph;10-ph;
54;30.04.2002 14:53;;;;mm/h;mm/h;
55;30.04.2002 14:53;;;;NaCl%;NaCl%;
4714;05.10.2004 11:46;;06.10.2004 12:31;;% KM-Ze;% KM-Ze;4714
57;30.04.2002 14:53;;;;ng/dl;ng/dl;
4715;07.10.2004 16:31;;;;% Liqu.Ze;% Liqu.Ze;4715
59;30.04.2002 14:53;;;;mU/ml;mU/ml;
60;30.04.2002 14:53;;;;pg/ml;pg/ml;
61;30.04.2002 14:53;;;;mmol/24h;mmol/24h;
62;30.04.2002 14:53;;;;g/24h;g/24h;
64;29.05.2002 16:14;;;;IE/L;IE/L;
4716;12.10.2004 12:21;;;;% BAL-Ze;% BAL-Ze;4716
65;29.05.2002 16:23;;;;/ul;/ul;
66;29.05.2002 16:50;;25.06.2002 18:23;;µmol/l;µmol/l;
67;29.05.2002 17:17;;29.05.2002 17:17;;mIE/ml;mIE/ml;
68;29.05.2002 18:09;;;;10^9/l;10^9/l;
69;29.05.2002 18:11;;;;10^12/l;10^12/l;
70;30.05.2002 09:12;;;;VK%;VK%;
71;30.05.2002 09:34;;;;IU/l;IU/l;
120;25.06.2002 17:50;;;;mlU/l;mlU/l;
121;25.06.2002 17:54;;;;Prom;Prom;
122;25.06.2002 18:00;;;;IE/ml;IE/ml;
123;25.06.2002 18:10;;;;mm;mm;
124;25.06.2002 18:10;;;;U/g;U/g;
125;25.06.2002 18:11;;;;g/ml;g/ml;
126;25.06.2002 18:13;;;;g/Tag;g/Tag;
4444;12.12.2002 15:11;;;;Titer;Titer;
4445;12.12.2002 15:11;;;;;;
4451;12.12.2002 15:11;;;;AU/ml;AU/ml;
4656;12.12.2002 15:35;;;;Uhr;Uhr;
4657;12.12.2002 15:45;;;;RE/ml;RE/ml;
4658;12.12.2002 15:46;;;;ml;ml;
4659;12.12.2002 15:56;;;;mlU/ml;mlU/ml;
4660;12.12.2002 15:56;;28.05.2008 13:50;;/100 Leuko;/100 Leuko;4660
4661;12.12.2002 16:00;;;;S/CO;S/CO;
4662;12.12.2002 16:00;;;;S/N;S/N;
4663;12.12.2002 16:00;;;;kU/l;kU/l;
4664;12.12.2002 16:00;;;;mval/l;mval/l;
4665;12.12.2002 16:01;;;;mU/l;mU/l;
4666;12.12.2002 16:07;;;;pmol/l;pmol/l;
4667;12.12.2002 16:07;;;;mIU/ml;mIU/ml;
4668;12.12.2002 16:08;;;;/mm3;/mm3;
4669;12.12.2002 16:09;;03.12.2009 13:13;;‰;‰;4669
4671;12.12.2002 16:11;;;;E/ml;E/ml;
4672;12.12.2002 16:13;;;;IU/ml;IU/ml;
4675;12.12.2002 16:13;;;;VIEU/ml;VIEU/ml;
4677;12.12.2002 16:13;;;;BU/ml;BU/ml;
4678;12.12.2002 16:13;;;;Index;Index;
4679;12.12.2002 16:25;;;;% v.Ges.Eiw.;% v.Ges.Eiw.;
4680;12.12.2002 16:25;;;;/min;/min;
4681;12.12.2002 16:42;;;;/3 Zellen;/3 Zellen;
4682;12.12.2002 16:42;;;;vol %;vol %;
4684;10.01.2003 12:10;;;;g%;g%;
4685;10.01.2003 13:01;;;;% Lymph;% Lymph;
4686;10.01.2003 13:21;;;;mIU/l;mIU/l;
4687;10.01.2003 14:29;;;;mosmol/kg;mosmol/kg;
4689;03.02.2003 18:45;;;;mg;mg;4689
4690;04.02.2003 15:10;;;;OD;OD;4690
4692;25.02.2003 17:05;;;;bis 100mg/dl;bis 100mg/dl;4692
4693;25.02.2003 17:05;;;;bis 60 mg/dl;bis 60 mg/dl;4693
4694;25.02.2003 17:05;;;;bis 10 mg/dl;bis 10 mg/dl;4694
4699;26.05.2003 12:35;;;;ng/l;ng/l;4699
4701;23.07.2003 18:33;;;;ng/mg;ng/mg;4701
