MATERW_UMSETZ_ID;INSERT_AM;INSERT_VON;UPDATE_AM;UPDATE_VON;MAT_ERWEITERUNG;MATERIAL_ID;MATERW_UMSETZ_ANZ;MATERW_UMSETZ_INF;FARBEN_ID;MAX_VOL_EINHEIT;MAX_VOL_EINHEIT_KLEIN;MAT_ERWEITERUNG_GR
1,0;15.12.2003 16:30;;30.06.2015 14:55;;"00";1,0;;;8,0;150,0;20,0;
2,0;15.12.2003 16:30;;22.06.2009 15:03;;"10";42,0;;;8,0;150,0;20,0;
3,0;15.12.2003 16:30;;15.09.2005 12:52;;"89";34,0;;;2,0;;;
5,0;15.12.2003 16:38;;19.11.2007 15:00;;"79";5,0;;;3,0;7,0;3,0;
6,0;15.12.2003 16:42;;17.10.2006 08:57;;"03";2,0;;;1,0;;;
7,0;15.12.2003 16:42;;30.03.2011 13:43;;"29";32,0;;;1,0;;;
8,0;15.12.2003 16:42;;17.10.2006 08:59;;"39";35,0;;;2,0;;;
9,0;15.12.2003 16:42;;17.10.2006 09:00;;"49";59,0;;;8,0;;;
10,0;15.12.2003 16:43;;08.04.2009 14:24;;"59";315,0;;;8,0;;;
11,0;15.12.2003 16:43;;17.10.2006 08:56;;"01";21,0;;;124,0;;;
13,0;15.12.2003 16:43;;18.10.2006 08:57;;"08";4,0;;;;;;
14,0;15.12.2003 16:43;;18.10.2006 08:57;;"09";3,0;;;;;;
15,0;15.12.2003 16:56;;18.10.2006 08:58;;"02";7,0;;;;;;
16,0;15.12.2003 16:57;;23.05.2007 15:16;;"04";9,0;;;;;;
17,0;15.12.2003 16:57;;22.01.2015 10:32;;"05";327,0;;;3,0;;;
18,0;15.12.2003 16:58;;18.10.2006 08:58;;"06";12,0;;;;;;
19,0;15.12.2003 16:58;;18.10.2006 08:58;;"07";11,0;;;;;;
20,0;15.12.2003 16:59;;18.10.2006 08:58;;"11";16,0;;;;;;
21,0;15.12.2003 16:59;;18.10.2006 08:58;;"12";15,0;;;;;;
22,0;15.12.2003 17:00;;18.01.2010 13:22;;"13";13,0;;;;;;
23,0;15.12.2003 17:00;;17.10.2006 10:12;;"14";14,0;;;4,0;;;
