TESTE_ID;INSERT_AM;INSERT_VON;UPDATE_AM;UPDATE_VON;LABOR_GROUP_ID;TEST_NR;NAME_KURZ;NAME_KURZ_10;NAME_LANG;NAME_STATISTIK;NAME_BEFUND;NAME_BEFUND_LANG;GUELTIG_AB;GUELTIG_BIS;EINHEIT_ID;TESTGRUPPE_ID;BEFUNDGRUPPE_ID;HOLGRUPPE_ID;BERECHNUNG_ANFOF;BERECHNUNG_FLAGF;BERECHNUNG_WERTF;ANZEIGE_NR;MATERIAL_ID;TEST_GESPERRT;ANFORDERUNG_BIS;TESTE_BESCHR_ID;MATERIAL_HOLBAR;NOT_TEST;RD_TEST;BD_TEST;SD_TEST;SOP_ABNAHME_ID;SOP_VERFAHREN_ID;SOP_ENTSORGEN_ID;GRAFIK_VORHANDEN;QUAKO_ANALYT_ID;LEISTUNG_TEST_NR;TESTE_ANZ;TESTE_INF;NAME_KURZ_FREMD;NAME_LANG_FREMD;METHODE;MATERIAL_FREMD;INSERT_VON_HAUS;ARBEITSPLATZ_ID;ZUSATZ_ANFO_NR;ZUSATZ_ANSICHT;TESTE_MASK_ID;ANHANG_TEST;LOESCHEN;VERDECKE_MOD_ERG;QC_ANZEIGE;VOL_EINHEIT;NICHTANFORDERBAR;NICHT_EINZELN_ANFORDERBAR;NICHT_ABRECHNEN;NICHT_STATISTIK;QC_UEBERWACHEN_GR;MAT_TESTE_MAT_ID
3,0;07.02.2003 09:22;;19.11.2007 15:01;;1,0;3,0;"DIGOX";"DIGOXIN";"Digoxin";;"Digoxin";"Digoxin";07.02.2003;;36,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10140,0;3,0;"DIGOXIN";;"DIGOXIN";"Digoxin";;"SI";3,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
8,0;07.02.2003 09:23;;08.02.2021 11:52;;1,0;8,0;"GLUC-";"GLUC-U";"Glucose im Urin";"";"Glucose im Urin";"Glucose im Urin";07.02.2003;;3,0;;;;;;;;2,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;30050,0;8,0;"GLUC-UUR";;"GLUC-U";"Glucose i.U.";;"U";8,0;20,0;;"";;;;;1,0;;;0,0;;;;
9,0;07.02.2003 09:23;;19.11.2007 15:01;;1,0;9,0;"IGG";"IGG";"IgG";;"IgG";"IgG";07.02.2003;;3,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10300,0;9,0;"IGG";;"IGG   ES";"IgG";;"SB";9,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
10,0;07.02.2003 09:23;;19.11.2007 15:01;;1,0;10,0;"IGM";"IGM";"IgM";;"IgM";"IgM";07.02.2003;;3,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10310,0;10,0;"IGM";;"IGM   ES";"IgM";;"SB";10,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
11,0;07.02.2003 09:23;;30.11.2012 11:23;;1,0;11,0;"ENA";"ENA";"Ak g. extrahierb. nu";;"Ak g. extrahierb. nu";"Ak g. extrahierb. nukl. Ag (ENA)";07.02.2003;;4445,0;;;;;;;;42,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;11,0;"ENA";;"ENA";"Ak g. extrahierb. nukl. Ag (ENA)";;"S";11,0;13,0;;;;;;;1,0;;;1,0;1,0;1,0;;
18,0;07.02.2003 09:23;;19.11.2007 15:01;;1,0;18,0;"MYOGL";"MYOGL";"Myoglobin";"";"Myoglobin";"Myoglobin";07.02.2003;;17,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;18,0;"MYOGL";;"MYOGL";"Myoglobin";;"S";18,0;5,0;;"";;;;;1,0;1,0;;0,0;;;1,0;
19,0;07.02.2003 09:23;;19.11.2007 15:01;;1,0;19,0;"CKMB";"CKMB";"CKMB";;"CKMB";"CKMB";07.02.2003;;7,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;19,0;"CKMB";;"CKMB";"CKMB";;"S";19,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
22,0;07.02.2003 09:45;;12.03.2013 10:51;;1,0;22,0;"BAKT-";"BAKT  US";"Bakterien";;"Bakterien";"Bakterien";07.02.2003;;4445,0;;;;;;;;2,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;22,0;"BAKT-US";;"BAKT  US";"Bakterien";;"U";22,0;20,0;;;;;;;1,0;;;1,0;1,0;;;
24,0;07.02.2003 09:45;;21.11.2005 13:20;;1,0;24,0;"LEUKO";"LEUKO UR";"Leuko im Urin";;"Leuko im Urin";"Leuko im Urin";07.02.2003;;4445,0;;;;;;;;2,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;24,0;"LEUKO UR";;"LEUKO UR";"Leuko im Urin";;"UB";24,0;20,0;;;;;;;1,0;;;1,0;;;;
25,0;07.02.2003 09:45;;12.03.2013 10:51;;1,0;25,0;"PH";"PH    UR";"pH im Urin";;"pH im Urin";"pH im Urin";07.02.2003;;4445,0;;;;;;;;2,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;25,0;"PH    UR";;"PH    UR";"pH im Urin";;"UB";25,0;20,0;;;;;;;1,0;;;1,0;1,0;;;
26,0;07.02.2003 09:45;;12.03.2013 10:51;;1,0;26,0;"KETON";"KETON UR";"Ketone";;"Ketone";"Ketone";07.02.2003;;4445,0;;;;;;;;2,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;26,0;"KETON UR";;"KETON UR";"Keton";;"UB";26,0;20,0;;;;;;;1,0;;;1,0;1,0;;;
